         1079090 function calls (1068027 primitive calls) in 10.054 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.717    3.717    3.717    3.717 {method 'run_backward' of 'torch._C._EngineBase' objects}
    20000    2.659    0.000    4.346    0.000 gaussianfit3.py:27(pdf_bi)
    40000    1.296    0.000    1.360    0.000 gaussianfit3.py:8(matmul)
        2    0.696    0.348    5.063    2.532 gaussianfit3.py:47(error)
    53/51    0.323    0.006    0.326    0.006 {built-in method _imp.create_dynamic}
      576    0.274    0.000    0.274    0.000 {method 'read' of '_io.FileIO' objects}
    10000    0.116    0.000    0.180    0.000 tensor.py:513(__rdiv__)
    20012    0.084    0.000    0.084    0.000 {built-in method exp}
      576    0.082    0.000    0.082    0.000 {built-in method marshal.loads}
    10000    0.053    0.000    0.053    0.000 {method 'reciprocal' of 'torch._C._TensorBase' objects}
    40000    0.044    0.000    0.053    0.000 gaussianfit3.py:20(<listcomp>)
1887/1760    0.037    0.000    0.114    0.000 {built-in method builtins.__build_class__}
     2514    0.033    0.000    0.033    0.000 {built-in method posix.stat}
      576    0.031    0.000    0.304    0.001 <frozen importlib._bootstrap_external>:914(get_data)
274037/273004    0.026    0.000    0.072    0.000 {built-in method builtins.len}
    30024    0.026    0.000    0.026    0.000 {built-in method builtins.hasattr}
     2742    0.025    0.000    0.043    0.000 inspect.py:613(cleandoc)
    10000    0.025    0.000    0.045    0.000 tensor.py:567(__len__)
       72    0.020    0.000    0.020    0.000 {built-in method builtins.sum}
        2    0.013    0.006    0.013    0.006 {method 'read' of '_io.TextIOWrapper' objects}
       28    0.013    0.000    0.043    0.002 __init__.py:709(_rc_params_in_file)
   106625    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
      332    0.011    0.000    0.011    0.000 {built-in method builtins.compile}
22493/21087    0.010    0.000    0.641    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      943    0.010    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      576    0.009    0.000    0.418    0.001 <frozen importlib._bootstrap_external>:793(get_code)
      114    0.008    0.000    0.008    0.000 {built-in method posix.getcwd}
  504/206    0.008    0.000    0.021    0.000 sre_parse.py:469(_parse)
        7    0.007    0.001    0.007    0.001 {method 'readlines' of '_io._IOBase' objects}
    18597    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
    948/1    0.006    0.000   10.063   10.063 {built-in method builtins.exec}
        1    0.006    0.006    8.787    8.787 gaussianfit3.py:66(main)
    42333    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
     1588    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      649    0.005    0.000    0.087    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    25202    0.005    0.000    0.005    0.000 {built-in method builtins.min}
       67    0.005    0.000    0.005    0.000 {built-in method posix.listdir}
    663/3    0.005    0.000    1.276    0.425 <frozen importlib._bootstrap>:978(_find_and_load)
      695    0.005    0.000    0.013    0.000 inspect.py:2117(_signature_from_function)
     1152    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     5171    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    23994    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
  981/196    0.004    0.000    0.009    0.000 sre_compile.py:71(_compile)
10026/10022    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
     1588    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
     5171    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       10    0.004    0.000    0.004    0.000 {method 'readline' of '_io.BufferedReader' objects}
    33763    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
    10000    0.004    0.000    0.004    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
        2    0.004    0.002    0.004    0.002 {built-in method _ctypes.dlopen}
        9    0.004    0.000    0.004    0.000 {built-in method torch._C._jit_get_operation}
        1    0.003    0.003    0.028    0.028 {built-in method torch._C._initExtension}
    635/4    0.003    0.000    1.274    0.319 <frozen importlib._bootstrap>:663(_load_unlocked)
      634    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     6538    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
       51    0.003    0.000    0.007    0.000 __init__.py:316(namedtuple)
    659/3    0.003    0.000    1.275    0.425 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     1588    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      576    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     2267    0.003    0.000    0.005    0.000 inspect.py:2467(__init__)
  645/644    0.003    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2322    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x10b97d3a8}
    576/4    0.003    0.000    1.274    0.319 <frozen importlib._bootstrap_external>:722(exec_module)
  752/717    0.003    0.000    0.018    0.000 inspect.py:2198(_signature_from_callable)
     5499    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      812    0.002    0.000    0.004    0.000 inspect.py:2750(__init__)
      842    0.002    0.000    0.005    0.000 functools.py:37(update_wrapper)
     2088    0.002    0.000    0.043    0.000 re.py:273(_compile)
      940    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     5631    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
     6476    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
      576    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
 1167/388    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
       32    0.002    0.000    0.006    0.000 enum.py:140(__new__)
       67    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     2006    0.002    0.000    0.004    0.000 typing.py:709(__setattr__)
      629    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     2349    0.002    0.000    0.034    0.000 inspect.py:594(getdoc)
       35    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
     1988    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
       37    0.002    0.000    0.002    0.000 {built-in method io.open}
     2754    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
    53/48    0.002    0.000    0.011    0.000 {built-in method _imp.exec_dynamic}
    10746    0.002    0.000    0.003    0.000 _mathtext.py:2507(<genexpr>)
        1    0.002    0.002    0.002    0.002 {built-in method _posixsubprocess.fork_exec}
    11504    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     1392    0.002    0.000    0.006    0.000 {built-in method builtins.any}
     5431    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      634    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
     5354    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.002    0.002    0.002    0.002 {built-in method torch._C._c10d_init}
       12    0.002    0.000    0.025    0.002 artist.py:1403(get_setters)
     2710    0.002    0.000    0.007    0.000 enum.py:289(__call__)
      188    0.002    0.000    0.002    0.000 colors.py:989(<listcomp>)
     2467    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      261    0.002    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
  634/630    0.001    0.000    0.345    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
      925    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     4601    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
     1728    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        2    0.001    0.001    0.004    0.002 decoder.py:343(raw_decode)
      270    0.001    0.000    0.006    0.000 typing.py:608(__init__)
      629    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      429    0.001    0.000    0.027    0.000 artist.py:1356(get_valid_values)
      458    0.001    0.000    0.002    0.000 typing.py:113(_type_check)
  441/196    0.001    0.000    0.022    0.000 sre_parse.py:411(_parse_sub)
     7137    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1079    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     1252    0.001    0.000    0.027    0.000 __init__.py:574(__setitem__)
     1424    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
      629    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1152    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      948    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        2    0.001    0.001    0.621    0.310 __init__.py:10(<module>)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      662    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
  698/640    0.001    0.000    0.014    0.000 typing.py:248(inner)
     2003    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       12    0.001    0.000    0.020    0.002 artist.py:1328(get_aliases)
      196    0.001    0.000    0.038    0.000 sre_compile.py:759(compile)
     1205    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:403(cached)
     4194    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1056    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        5    0.001    0.000    0.189    0.038 functional.py:1(<module>)
       35    0.001    0.000    0.594    0.017 __init__.py:1(<module>)
      576    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      662    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
     1755    0.001    0.000    0.026    0.000 artist.py:1422(is_alias)
     2006    0.001    0.000    0.002    0.000 typing.py:595(_is_dunder)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
     1729    0.001    0.000    0.001    0.000 {built-in method from_bytes}
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._rpc_init}
      746    0.001    0.000    0.002    0.000 inspect.py:484(unwrap)
      196    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
        4    0.001    0.000    0.002    0.000 _builtins.py:115(register_all)
     2172    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      172    0.001    0.000    0.012    0.000 deprecation.py:183(deprecate)
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
  489/228    0.001    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      644    0.001    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     4194    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      576    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      663    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
     5858    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
     1336    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     1635    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     2846    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
      576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     2693    0.001    0.000    0.001    0.000 enum.py:531(__new__)
      410    0.001    0.000    0.003    0.000 copy.py:66(copy)
     1944    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
     1944    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      355    0.001    0.000    0.002    0.000 enum.py:71(__setitem__)
        3    0.001    0.000    0.001    0.000 {built-in method gc.collect}
  769/603    0.001    0.000    0.001    0.000 typing.py:669(__hash__)
      879    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       31    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
      591    0.001    0.000    0.002    0.000 font_manager.py:955(_json_decode)
      576    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
   141/95    0.001    0.000    0.006    0.000 typing.py:340(__getitem__)
      462    0.001    0.000    0.001    0.000 enum.py:381(__setattr__)
