         664316 function calls (653253 primitive calls) in 2.797 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5120    0.668    0.000    0.926    0.000 gaussianfit3.py:29(pdf_bi)
    53/51    0.576    0.011    0.580    0.011 {built-in method _imp.create_dynamic}
      576    0.312    0.001    0.312    0.001 {method 'read' of '_io.FileIO' objects}
        1    0.195    0.195    1.136    1.136 gaussianfit3.py:61(error)
    12802    0.087    0.000    0.087    0.000 {built-in method tensor}
      576    0.084    0.000    0.084    0.000 {built-in method marshal.loads}
     5119    0.065    0.000    0.065    0.000 {built-in method matmul}
      576    0.057    0.000    0.368    0.001 <frozen importlib._bootstrap_external>:914(get_data)
     2514    0.044    0.000    0.044    0.000 {built-in method posix.stat}
       67    0.033    0.000    0.033    0.000 {built-in method posix.listdir}
1887/1760    0.030    0.000    0.122    0.000 {built-in method builtins.__build_class__}
     2559    0.029    0.000    0.047    0.000 tensor.py:513(__rdiv__)
     2742    0.026    0.000    0.044    0.000 inspect.py:613(cleandoc)
     5125    0.025    0.000    0.025    0.000 {built-in method exp}
     5119    0.025    0.000    0.025    0.000 {built-in method dot}
     2559    0.014    0.000    0.014    0.000 {method 'reciprocal' of 'torch._C._TensorBase' objects}
       28    0.014    0.000    0.047    0.002 __init__.py:709(_rc_params_in_file)
     5119    0.013    0.000    0.022    0.000 tensor.py:567(__len__)
        2    0.012    0.006    0.012    0.006 {method 'read' of '_io.TextIOWrapper' objects}
    17685    0.012    0.000    0.012    0.000 {built-in method builtins.hasattr}
      332    0.011    0.000    0.011    0.000 {built-in method builtins.compile}
      943    0.010    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
79150/78117    0.010    0.000    0.032    0.000 {built-in method builtins.len}
      576    0.009    0.000    0.485    0.001 <frozen importlib._bootstrap_external>:793(get_code)
  504/206    0.009    0.000    0.024    0.000 sre_parse.py:469(_parse)
        2    0.008    0.004    0.008    0.004 {built-in method _ctypes.dlopen}
       46    0.008    0.000    0.008    0.000 deprecation.py:208(_deprecated_property)
        7    0.007    0.001    0.008    0.001 {method 'readlines' of '_io._IOBase' objects}
      114    0.007    0.000    0.007    0.000 {built-in method posix.getcwd}
    18597    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
    42322    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
    948/1    0.006    0.000    2.798    2.798 {built-in method builtins.exec}
     1588    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      649    0.006    0.000    0.124    0.000 <frozen importlib._bootstrap>:882(_find_spec)
10158/8752    0.006    0.000    0.733    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    25202    0.005    0.000    0.005    0.000 {built-in method builtins.min}
    663/3    0.005    0.000    1.661    0.554 <frozen importlib._bootstrap>:978(_find_and_load)
      695    0.005    0.000    0.013    0.000 inspect.py:2117(_signature_from_function)
     1152    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       10    0.004    0.000    0.004    0.000 {method 'readline' of '_io.BufferedReader' objects}
     1588    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
  981/196    0.004    0.000    0.010    0.000 sre_compile.py:71(_compile)
     5171    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    23964    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
        9    0.004    0.000    0.004    0.000 {built-in method torch._C._jit_get_operation}
10026/10022    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
    635/4    0.004    0.000    1.660    0.415 <frozen importlib._bootstrap>:663(_load_unlocked)
     5171    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      634    0.004    0.000    0.016    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    33763    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
       37    0.004    0.000    0.004    0.000 {built-in method io.open}
    659/3    0.003    0.000    1.661    0.554 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     6538    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.003    0.003    0.035    0.035 {built-in method torch._C._initExtension}
     2322    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x101cf63a8}
     1588    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
      576    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
  645/644    0.003    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2267    0.003    0.000    0.005    0.000 inspect.py:2467(__init__)
    576/4    0.003    0.000    1.660    0.415 <frozen importlib._bootstrap_external>:722(exec_module)
     5499    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       51    0.003    0.000    0.007    0.000 __init__.py:316(namedtuple)
  752/717    0.003    0.000    0.019    0.000 inspect.py:2198(_signature_from_callable)
      842    0.003    0.000    0.005    0.000 functools.py:37(update_wrapper)
     2088    0.003    0.000    0.048    0.000 re.py:273(_compile)
     6476    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
     5631    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
      576    0.003    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
    22902    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
